dt,u0,u1,u2,u3,robot_current_state_x,y,z,qw,qx,qy,qz,Vx,Vy,Vz,x_next,y_next,z_next,qw_next,qx_next,qy_next,qz_next,Vx_next,Vy_next,Vz_next
0.040000000,0.00477978,-0.000962487,-0.00206456,9.7871,0.00124502,0.00632193,0.53851,0.99999,0.000929909,-0.000178165,0.00430594,4.68015e-310,0,6.95296e-310,0.00122647,0.00622304,0.538413,0.99999,0.00116912,-0.000225163,0.00420271,-0.000386002,-0.002056,-0.00195233,
0.040000000,0.00445268,-0.00086765,-0.00203479,9.7885,0.00122201,0.00624689,0.538221,0.999991,0.000944088,-0.000181713,0.00424388,4.68015e-310,0,6.95296e-310,0.00120326,0.00614712,0.53813,0.999991,0.00116692,-0.000224054,0.00414214,-0.000388521,-0.00206801,-0.00181231,
0.052000000,0.00413863,-0.00122426,-0.00200462,9.79046,0.00119332,0.00613535,0.537815,0.999991,0.000949335,-0.00014302,0.00418101,4.68015e-310,0,6.95296e-310,0.00117776,0.00603558,0.537734,0.999991,0.00115653,-0.000203273,0.00408076,-0.00033052,-0.00206312,-0.00161632,
0.020000000,-0.000166904,-0.000157633,-0.00199979,9.82128,0.00118812,0.00611329,0.537736,0.999991,0.000942729,-0.000140717,0.00417087,-0.000636108,-0.00263333,-0.00952303,0.00111081,0.00575758,0.536857,0.999991,0.000934431,-0.000148539,0.00407087,-0.000912594,-0.0044781,-0.00805662,
0.028000000,0.00387636,-0.00116944,-0.00197552,9.79301,0.00116092,0.00598908,0.537288,0.999991,0.000942796,-0.000140957,0.0041203,4.68015e-310,0,6.95296e-310,0.00114564,0.00589035,0.53722,0.999991,0.00113687,-0.000198536,0.0040215,-0.000324175,-0.00203795,-0.00136113,
0.040000000,-0.00195207,0.000148639,-0.00195116,9.83476,0.00113166,0.00584246,0.536797,0.999991,0.000879187,-0.000139553,0.00406945,-0.000740946,-0.00377118,-0.0123203,0.00104441,0.00538202,0.535705,0.999992,0.000781568,-0.000132432,0.00397188,-0.00100187,-0.00540555,-0.00950555,
0.052000000,-0.00253386,0.000410261,-0.00191932,9.84161,0.00109383,0.00564059,0.536164,0.999992,0.000806447,-0.000145444,0.00400303,-0.000803184,-0.00433475,-0.0135072,0.00100016,0.00513186,0.534988,0.999992,0.000679687,-0.000125361,0.00390706,-0.00106391,-0.00579839,-0.0100071,
0.040000000,-0.00236548,0.000191499,-0.00188877,9.8428,0.00105302,0.00541533,0.53553,0.999992,0.000675892,-0.000108072,0.00393935,-0.000861768,-0.00479802,-0.012922,0.000956757,0.00487284,0.534419,0.999992,0.000557592,-9.8899e-05,0.00384491,-0.00106076,-0.0060129,-0.0093027,
0.020000000,0.00574494,-0.00136753,-0.00188332,9.80198,0.00104602,0.00537589,0.535431,0.999992,0.000645682,-9.88942e-05,0.003928,4.68015e-310,0,6.95296e-310,0.00103441,0.00530316,0.535408,0.999992,0.000933204,-0.000166081,0.00383382,-0.000253724,-0.00154862,-0.000463299,
0.028000000,-0.00144482,-0.000383607,-0.00185779,9.8404,0.0010108,0.00517295,0.534967,0.999992,0.00049605,-4.46667e-05,0.00387472,-0.000878418,-0.00510986,-0.0113187,0.000918102,0.0046155,0.534004,0.999993,0.000423888,-6.40807e-05,0.00378182,-0.000981962,-0.00601552,-0.00793943,
0.052000000,0.00758267,-0.00194119,-0.0018347,9.80639,0.00097656,0.00496434,0.534517,0.999993,0.000393316,-3.24796e-05,0.00382664,4.68015e-310,0,6.95296e-310,0.000970444,0.00491334,0.534516,0.999993,0.000772821,-0.000128051,0.00373488,-0.000153104,-0.00114414,-2.16558e-05,
